longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,depth_ft,material,target_description,css_surveyed,css_survey_date,css_dimensions,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_url,sc_notes,sc_newly_uncovered,sc_rov_dive_duration,sc_rov_dive_date,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.3300108,47.6429257,LU081,Unknown,Shipwreck,Small Boat - Need new scan,TBD,NA,Unknown,NA,Yes,NA,TBD,No,Small Boat - Need new scan,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU81,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Chinook Lake Union Boat Moorage
-122.3243413,47.6532356,LU082,Unknown,Unknown,Unknown Wreckage - Likely Boat,TBD,35,Unknown,NA,Yes,NA,TBD,No,Unknown Wreckage - Likely Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU82,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Ivar's Salmon House
-122.323888,47.653416,LU083,Unknown,Shipwreck,Barge and Debris Against Bulkhead,TBD,20,Unknown,NA,Yes,NA,24' x 12',No,Barge and Debris Against Bulkhead,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU83,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Ivar's Salmon House
-122.3266395,47.6526364,LU084,Unknown,Shipwreck,Barge near end of Dock Pilings & Stormwater Outfall,24' x 12',30,Unknown,NA,Yes,NA,TBD,No,Barge near end of Dock Pilings & Stormwater Outfall,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU84,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,MV Skansonia Pier ?
-122.3319167,47.6295167,LU085,Gypsy Trader,Shipwreck,Shipwreck,TBD,40,Unknown,NA,Yes,NA,14' x 4.5',Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU85,26,no?,NA,NA,NA,http://www.dcsfilms.com/Site_4/gypsy_trader.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Moss Bay Piers ?
-122.3326612,47.6398464,LU086,Unknown,Shipwreck,Row Boat,14' x 4.5',40,Unknown,NA,Yes,NA,14',No,Row Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU86,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3309114,47.6321552,LU087,Unknown,Shipwreck,Kayak,14',40,Unknown,NA,Yes,NA,45' x 15',No,Kayak,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU87,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3415698,47.6417884,LU088,Unknown,Shipwreck,Large vessel under dock possible sailboat,45' x 15',40,Unknown,NA,Yes,NA,TBD,No,Large vessel under dock possible sailboat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU88,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Signature Yachts Pier ?
-122.3421089,47.6444762,LU089,Unknown,Shipwreck,Shipwreck - Odd angle on sonar,TBD,40,Unknown,NA,Yes,NA,24' x8',No,Shipwreck - Odd angle on sonar,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU89,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.346392,47.6456063,LU090,Unknown,Shipwreck,Shipwreck,24' x8',40,Unknown,NA,Yes,NA,35' x 8',No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU90,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,The Old Boathouse ?
-122.3465488,47.6456792,LU091,Unknown,Shipwreck,Shipwreck,35' x 8',40,Unknown,NA,Yes,NA,25',No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU91,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,The Old Boathouse ?
-122.3466827,47.6457612,LU092,Unknown,Shipwreck,Shipwreck,25',40,Unknown,NA,Yes,NA,12' x 5',No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU92,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,The Old Boathouse ?
-122.3466169,47.6453658,LU093,Unknown,Shipwreck,Shipwreck - Small tender,12' x 5',40,Unknown,NA,Yes,NA,14,No,Shipwreck - Small tender,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU93,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,The Old Boathouse ?
-122.3335132,47.6414172,LU094,Unknown,Shipwreck,Canoe,14,40,Unknown,NA,Yes,NA,15' x 6',No,Canoe,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU94,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3344565,47.6405827,LU095,Unknown,Shipwreck,Dinghy,15' x 6',40,Unknown,NA,Yes,NA,14' x 4.5',No,Dinghy,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU95,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3344565,47.6405827,LU096,NA,Shipwreck,Dinghy,14' x 4.5',40,Unknown,NA,Yes,NA,NA,No,Dinghy,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU96,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3235765,47.6530563,LU097,Cable - Exposed,Debris,Cable Area,NA,20,Mixed (Debris),NA,Yes,NA,NA,No,Cable Area,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU97,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Ivar's Salmon House
-122.3373284,47.64503173,LU098,***GUNBOAT-1,Shipwreck,Pleasure craft,24 x 8,23,Metal,NA,No,NA,NA,No,n/a,n/a,NA,NA,NA,NA,NA,NA,newly found! super shallow and close to shore,Yes,1,13Dec2025,https://www.youtube.com/watch?v=MPLPYdXKrpQ,First Footage,No Footage,Gas Works Park
-122.3910028,47.66586737,LU099,"Onondaga (Arctic Explorer, WPG-79)",Shipwreck,Coast Guard Cutter (light ice breaker),165 x 36,4,Metal,"The Onondaga has a rich history, explained on her Wikipedia page (https://en.wikipedia.org/wiki/USCGC_Onondaga)",No,NA,NA,NA,NA,NA,36,no?,NA,"165 x 36 x 13'7""","Coast Guard ""A"" Class cutter",NA,"massive algae covered wreck, top is only 4 ft deep",no,1,12Apr2026,NA,Updated Footage,Historical Footage,Stabbert Marina
-122.3909559,47.66607402,LU100,Unknown,Shipwreck,Cruising Vessel,Unknown,TBD,Fiberglass,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"angle vertically, wedged beneath MV Vigorous and another wreck to the side",no,0.5,12Apr2026,NA,Updated Footage,Historical Footage,Stabbert Marina
-122.3908948,47.66607493,LU101,Unknown,Shipwreck,Cruising Vessel,Unknown,TBD,,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wreck wedged next to LU101,no,0.5,12Apr2026,NA,Updated Footage,Historical Footage,Stabbert Marina
-122.3542893,47.64960989,LU102,Unknown,Vehicle,Car,Unknown,TBD,Metal,"This car was first reported by the Puget Soundkeeper Alliance on January 21st, 2025. Their field team stumbled upon the car while conducting ROV dives in the area.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Stabbert Marina
